City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Benguela,AO,67.66,scattered clouds,-12.58,13.41,Hotel Praia Morena
2,Ribeira Grande,PT,73.35,clear sky,38.52,-28.7,Quinta da Meia Eira
5,Sao Joao Da Barra,BR,64.89,clear sky,-21.64,-41.05,Pousada Porto De Canoas
7,Bambous Virieux,MU,71.6,scattered clouds,-20.34,57.76,Casa Tia Villa
8,Abu Zabad,SD,73.0,light rain,12.35,29.25,محي الدين نوري
10,Tual,ID,79.39,scattered clouds,-5.67,132.75,Grand Vilia Hotel
12,Moindou,NC,69.8,overcast clouds,-21.69,165.68,Gite de la RYAWA
13,Santa Maria Da Boa Vista,BR,78.12,scattered clouds,-8.81,-39.83,Fênix Hotel e Restaurante
14,Los Llanos De Aridane,ES,73.4,clear sky,28.66,-17.92,Valle Aridane
18,Bengkulu,ID,75.88,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
21,Botro,CI,73.4,few clouds,7.85,-5.31,Motel de la Station BOTRO
23,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
25,Airai,TL,67.8,scattered clouds,-8.93,125.41,Juvinal Martin
26,Preobrazheniye,RU,71.67,broken clouds,42.9,133.91,Campsite Orlan
27,Grand-Lahou,CI,73.65,broken clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
28,Pimentel,PE,60.84,clear sky,-6.84,-79.93,Casona Del Muelle
29,Luanda,AO,69.8,scattered clouds,-8.84,13.23,EPIC SANA Luanda
34,Darab,IR,76.35,overcast clouds,28.75,54.54,Naghshe shapoor Hotel
39,Olga,RU,71.37,overcast clouds,43.74,135.29,Gostinitsa Rosmorport.
40,Jamestown,US,79.0,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
42,Tura,IN,73.72,few clouds,25.52,90.22,Hotel RIKMAN Continental
43,Severodvinsk,RU,60.8,overcast clouds,64.56,39.83,Park Hotel
47,Saint-Philippe,RE,68.0,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
48,Taraz,KZ,69.8,broken clouds,42.9,71.37,Comfort Inn
51,Katobu,ID,79.7,scattered clouds,-4.94,122.53,La Ode Husein
53,Cidreira,BR,60.87,clear sky,-30.18,-50.21,Hotel Castelo
54,Lagoa,PT,72.99,clear sky,39.05,-27.98,Casa Das Faias
58,Takoradi,GH,74.32,few clouds,4.88,-1.76,Raybow International Hotel
61,Nikolskoye,RU,62.01,few clouds,59.7,30.79,Tourist House - Sablino
62,Kununurra,AU,73.4,clear sky,-15.77,128.73,Hotel Kununurra
63,Acari,PE,60.75,broken clouds,-15.43,-74.62,Hospedaje Ximens
66,Salalah,OM,77.0,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
67,Lashio,MM,69.19,light rain,22.93,97.75,Hotel CF Lashio - Burmese Only
72,Sao Filipe,CV,79.11,broken clouds,14.9,-24.5,Tortuga B&B
75,Cayenne,GF,77.0,broken clouds,4.93,-52.33,Hôtel Le Dronmi
76,Marystown,CA,63.0,clear sky,47.17,-55.15,Marystown Hotel & Convention Centre
78,Santa Marta,CO,75.99,broken clouds,11.24,-74.2,Hotel La Ballena Azul
79,Linjiang,CN,71.47,overcast clouds,41.81,126.91,Mingmen Business Hotel
80,Wajir,KE,73.13,broken clouds,1.75,40.06,Al- Amin lodge
81,Sibolga,ID,76.48,broken clouds,1.74,98.78,Hotel Syariah CN Darussalam
83,Kavieng,PG,76.78,heavy intensity rain,-2.57,150.8,Nusa Island Retreat
85,Marawi,PH,79.0,broken clouds,8.0,124.29,Salihmaruhom
86,Montepuez,MZ,66.42,broken clouds,-13.13,39.0,RESIDÊNCIAL LANCHONETE
89,Svetlogorsk,BY,63.73,light rain,52.63,29.73,Hotel Svetlogorsk JBIK
93,Susurluk,TR,73.4,clear sky,39.91,28.16,Çağan Pansiyon
94,Myitkyina,MM,75.36,light rain,25.38,97.4,Shwe Phyu Hotel
95,Northam,GB,61.0,light rain,51.03,-4.22,Durrant House Hotel
97,Asau,RO,64.0,light rain,46.43,26.4,Casa Mika Ciobanus
100,Buchanan,LR,76.14,light rain,5.88,-10.05,Kamaneahn Hotel Inc
102,Yellowknife,CA,63.0,few clouds,62.46,-114.35,The Explorer Hotel
105,Alice Springs,AU,60.8,clear sky,-23.7,133.88,Desert Palms Alice Springs
106,Puerto Ayora,EC,68.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
107,Vao,NC,70.2,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
108,Ponta Do Sol,PT,75.2,few clouds,32.67,-17.1,Hotel do Campo
113,Fougamou,GA,72.43,overcast clouds,-1.22,10.58,Résidence d'Hôtes Bapedy
114,Caravelas,BR,69.31,light rain,-17.71,-39.25,Pousada dos Navegantes
120,Sandovo,RU,60.3,overcast clouds,58.46,36.41,"Gostinitsa ""Avtomanevr"""
121,Nauta,PE,74.1,scattered clouds,-4.51,-73.58,Amazon Exploring Expedition - Eretzen Tá Lodge
122,Ambilobe,MG,64.18,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
123,Pitimbu,BR,69.8,broken clouds,-7.47,-34.81,Reserva do Abiaí
129,Arraial Do Cabo,BR,67.46,clear sky,-22.97,-42.03,Pousada Porto Praia
130,Vila Velha,BR,68.0,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
132,Mahebourg,MU,71.6,scattered clouds,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
133,Sur,OM,78.31,scattered clouds,22.57,59.53,Sur Plaza Hotel
134,Nemuro,JP,64.94,clear sky,43.32,145.57,Hotel Nemuro Kaiyoutei
135,Faya,SA,68.0,scattered clouds,18.39,42.45,مقبرة ال مجمل
140,Hami,CN,77.97,light rain,42.8,93.45,Laoyutang Resort
145,Santa Maria,BR,60.8,clear sky,-29.68,-53.81,Hotel Morotin
147,Puerto Leguizamo,CO,72.86,scattered clouds,-0.19,-74.78,la casona de juancho
148,Chato,TZ,70.2,scattered clouds,-2.64,31.77,Marine Hotel
151,Huarmey,PE,61.65,clear sky,-10.07,-78.15,Hotel Miramar
153,Nampula,MZ,64.4,few clouds,-15.12,39.27,Tacab Residencial
155,Jinchang,CN,70.88,clear sky,38.5,102.17,Mingshihui Jinchang International Hotel
157,Khasan,RU,70.41,overcast clouds,42.43,130.64,Krako Motorkár
159,Floresta,BR,74.14,scattered clouds,-8.6,-38.57,Pousada Maria Bonita
162,Talara,PE,61.81,clear sky,-4.58,-81.27,Hostal Oro Negro
163,Lodwar,KE,79.63,overcast clouds,3.12,35.6,Turkwel Lodge
164,Mackay,AU,69.01,clear sky,-21.15,149.2,International Lodge Motel
165,Napier,NZ,64.99,overcast clouds,-39.48,176.92,The Nautilus Napier
166,Pisco,PE,62.6,overcast clouds,-13.7,-76.22,Hostal San Isidro Oficial
171,Kon Tum,VN,73.33,overcast clouds,14.35,108.0,Hoa đà spa- homestay
174,Iquitos,PE,69.8,overcast clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
175,Anta,IN,77.25,broken clouds,25.15,76.3,Agnisaman Kendra
177,Birjand,IR,75.2,scattered clouds,32.87,59.22,Birjand Tourist Hotel
179,Broome,US,77.0,clear sky,42.25,-75.83,Chenango Valley State Park
180,Seoul,KR,78.8,clear sky,37.57,126.98,LOTTE HOTEL SEOUL
182,Mahajanga,MG,69.8,scattered clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
183,Eganville,CA,68.0,moderate rain,45.53,-77.1,Egan Inn
186,Cumana,VE,71.6,broken clouds,10.46,-64.18,TIUNA INN HOTEL
187,Gardez,AF,65.1,clear sky,33.6,69.23,زرمت سهاک سیاحتی شرکت TRAVEL AGANCY
190,Touros,BR,73.4,few clouds,-5.2,-35.46,INN NEW HORIZON
191,Nyaunglebin,MM,73.4,light rain,17.95,96.73,Royal Motel
192,Ramsar,IR,69.37,light rain,36.92,50.64,Rasa Residential Hotel
193,Cabedelo,BR,69.8,broken clouds,-6.98,-34.83,Lua Mansa Pousada
194,Padang,ID,78.53,overcast clouds,-0.95,100.35,Mercure Padang
196,Otane,NZ,61.66,broken clouds,-39.88,176.63,Ludlow Farmstay
197,Itarema,BR,77.79,broken clouds,-2.92,-39.92,Windvillage
198,Nancha,CN,68.85,overcast clouds,47.13,129.27,Communications Hotel
200,Fraga,ES,70.0,broken clouds,41.52,0.35,Hotel Casanova
203,Magadi,IN,71.6,light rain,12.97,77.23,Mindri of Magadi
204,Samarai,PG,76.26,overcast clouds,-10.62,150.67,Nuli Sapi
206,Yuncheng,CN,72.1,overcast clouds,35.02,110.99,晋州快捷酒店
208,Aragarcas,BR,77.67,clear sky,-15.9,-52.25,Hotel Pousada Tropical
214,Bagaces,CR,78.8,broken clouds,10.53,-85.25,Cabinas Tamarindo Bagaces
215,Kalmunai,LK,78.04,few clouds,7.42,81.82,VS Villa
216,Zhezkazgan,KZ,67.75,overcast clouds,47.8,67.71,Kvartiry Posutochno.
217,Muriwai Beach,NZ,60.01,light rain,-36.82,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
219,Den Helder,NL,64.4,drizzle,52.96,4.76,Hotel Den Helder
220,Deyang,CN,75.99,overcast clouds,31.13,104.38,Milletholly Resort Hotel
224,Goma,CD,64.81,broken clouds,-1.68,29.22,"Goma, CENTRE D'ACCUEIL CARITAS"
225,Namibe,AO,64.18,scattered clouds,-15.2,12.15,Hotel Chik Chik Namibe
231,Wajima,JP,78.8,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
