City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ahipara,NZ,2020-08-23 00:26:40,-35.17,173.17,62.2,77,52,12.39
1,Svetlyy,RU,2020-08-23 00:26:40,54.67,20.13,68.0,94,75,6.71
2,Popondetta,PG,2020-08-23 00:26:40,-8.75,148.25,88.83,55,39,2.26
3,Kolchugino,RU,2020-08-23 00:26:41,56.3,39.38,53.53,87,51,2.04
4,Saint-Philippe,RE,2020-08-23 00:26:41,-21.36,55.77,68.0,55,36,8.05
5,Vardo,NO,2020-08-23 00:26:41,70.37,31.11,56.82,87,54,20.13
6,Albany,US,2020-08-23 00:25:02,42.6,-73.97,80.01,55,0,1.99
7,Puerto Ayora,EC,2020-08-23 00:26:41,-0.74,-90.35,64.99,93,78,5.99
8,Isangel,VU,2020-08-23 00:26:42,-19.55,169.27,84.2,66,20,11.41
9,Boyuibe,BO,2020-08-23 00:26:42,-20.42,-63.28,49.93,45,28,3.53
10,Cape Town,ZA,2020-08-23 00:23:17,-33.93,18.42,51.01,93,5,5.82
11,Raudeberg,NO,2020-08-23 00:26:42,61.99,5.14,53.01,94,100,14.85
12,Carnarvon,AU,2020-08-23 00:26:42,-24.87,113.63,66.2,72,94,10.29
13,Airai,TL,2020-08-23 00:26:43,-8.93,125.41,69.64,32,65,5.06
14,Bolobo,CD,2020-08-23 00:26:43,-2.17,16.23,73.13,88,100,1.59
15,Menongue,AO,2020-08-23 00:26:43,-14.66,17.69,60.96,38,38,6.2
16,Ushuaia,AR,2020-08-23 00:26:43,-54.8,-68.3,42.8,56,40,26.4
17,Nogales,MX,2020-08-23 00:24:27,31.31,-110.94,93.99,36,1,8.05
18,Bluff,NZ,2020-08-23 00:26:43,-46.6,168.33,48.99,91,100,5.01
19,Mataura,NZ,2020-08-23 00:26:44,-46.19,168.86,48.99,91,98,5.01
20,Hermanus,ZA,2020-08-23 00:26:44,-34.42,19.23,54.0,85,24,10.65
21,Marsh Harbour,BS,2020-08-23 00:26:44,26.54,-77.06,84.09,77,20,14.05
22,Port Moresby,PG,2020-08-23 00:26:44,-9.44,147.18,82.4,74,40,19.46
23,Clyde River,CA,2020-08-23 00:26:45,70.47,-68.59,49.39,74,95,3.6
24,Rikitea,PF,2020-08-23 00:26:45,-23.12,-134.97,66.94,73,89,17.58
25,Rabo De Peixe,PT,2020-08-23 00:26:45,37.8,-25.58,69.8,88,20,3.36
26,Tuktoyaktuk,CA,2020-08-23 00:26:45,69.45,-133.04,53.6,81,20,9.17
27,Port Elizabeth,ZA,2020-08-23 00:26:46,-33.92,25.57,53.6,93,20,2.24
28,Vaini,TO,2020-08-23 00:26:46,-21.2,-175.2,78.8,88,40,13.87
