City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Tasiilaq,65.61,-37.64,37.4,100,0,5.82,GL,2020-08-23 23:37:23,fog
1,Benguela,-12.58,13.41,67.66,89,29,0.72,AO,2020-08-23 23:38:53,scattered clouds
2,Ribeira Grande,38.52,-28.7,73.35,89,3,10.36,PT,2020-08-23 23:33:59,clear sky
3,Upernavik,72.79,-56.15,43.25,88,94,0.94,GL,2020-08-23 23:38:53,overcast clouds
4,Paamiut,61.99,-49.67,42.55,91,16,6.24,GL,2020-08-23 23:36:24,few clouds
5,Sao Joao Da Barra,-21.64,-41.05,64.89,72,3,11.61,BR,2020-08-23 23:36:51,clear sky
6,Sayansk,54.11,102.16,53.56,89,77,0.65,RU,2020-08-23 23:38:54,broken clouds
7,Bambous Virieux,-20.34,57.76,71.6,78,40,16.11,MU,2020-08-23 23:33:48,scattered clouds
8,Abu Zabad,12.35,29.25,73.0,75,99,9.31,SD,2020-08-23 23:38:54,light rain
9,Longyearbyen,78.22,15.64,39.2,69,5,8.05,SJ,2020-08-23 23:35:04,clear sky
10,Tual,-5.67,132.75,79.39,77,33,18.99,ID,2020-08-23 23:34:46,scattered clouds
11,Misratah,32.38,15.09,81.12,76,40,12.17,LY,2020-08-23 23:38:55,scattered clouds
12,Moindou,-21.69,165.68,69.8,88,90,2.24,NC,2020-08-23 23:38:55,overcast clouds
13,Santa Maria Da Boa Vista,-8.81,-39.83,78.12,60,30,21.18,BR,2020-08-23 23:38:55,scattered clouds
14,Los Llanos De Aridane,28.66,-17.92,73.4,83,9,17.22,ES,2020-08-23 23:38:55,clear sky
15,Kholtoson,50.3,103.31,49.77,69,6,1.45,RU,2020-08-23 23:38:55,clear sky
16,Coquimbo,-29.95,-71.34,55.4,58,75,3.36,CL,2020-08-23 23:38:56,broken clouds
17,Lebu,-37.62,-73.65,50.94,90,100,18.03,CL,2020-08-23 23:33:57,light rain
18,Bengkulu,-3.8,102.27,75.88,85,99,4.27,ID,2020-08-23 23:38:56,overcast clouds
19,Ahipara,-35.17,173.17,57.96,79,91,20.09,NZ,2020-08-23 23:38:56,light rain
20,Geraldton,-28.77,114.6,44.6,93,0,6.93,AU,2020-08-23 23:38:56,clear sky
21,Botro,7.85,-5.31,73.4,94,20,6.93,CI,2020-08-23 23:38:57,few clouds
22,Vieques,18.43,-65.83,84.2,83,40,12.75,PR,2020-08-23 23:38:30,shower rain
23,Georgetown,5.41,100.34,78.8,94,20,2.24,MY,2020-08-23 23:38:57,few clouds
24,Hithadhoo,-0.6,73.08,82.62,79,70,12.93,MV,2020-08-23 23:36:36,light rain
25,Airai,-8.93,125.41,67.8,39,38,6.08,TL,2020-08-23 23:37:55,scattered clouds
26,Preobrazheniye,42.9,133.91,71.67,78,83,3.2,RU,2020-08-23 23:38:58,broken clouds
27,Grand-Lahou,5.14,-5.02,73.65,90,52,8.5,CI,2020-08-23 23:38:58,broken clouds
28,Pimentel,-6.84,-79.93,60.84,87,0,11.83,PE,2020-08-23 23:38:58,clear sky
29,Luanda,-8.84,13.23,69.8,88,40,1.12,AO,2020-08-23 23:38:58,scattered clouds
30,Aykhal,66.0,111.5,46.4,65,10,2.24,RU,2020-08-23 23:38:59,clear sky
31,Thinadhoo,0.53,72.93,83.23,71,86,7.92,MV,2020-08-23 23:38:59,overcast clouds
32,Saldanha,-33.01,17.94,53.6,87,65,6.93,ZA,2020-08-23 23:34:27,broken clouds
33,Katsuura,35.13,140.3,81.0,79,99,3.0,JP,2020-08-23 23:34:28,overcast clouds
34,Darab,28.75,54.54,76.35,44,100,2.68,IR,2020-08-23 23:38:59,overcast clouds
35,Sinnamary,5.38,-52.95,80.17,83,64,11.07,GF,2020-08-23 23:39:00,broken clouds
36,Abu Dhabi,24.47,54.37,93.2,67,80,3.36,AE,2020-08-23 23:38:59,broken clouds
37,Hasaki,35.73,140.83,81.0,88,75,8.05,JP,2020-08-23 23:37:54,broken clouds
38,Cabanas,22.98,-82.92,87.8,74,40,13.87,CU,2020-08-23 23:39:00,scattered clouds
39,Olga,43.74,135.29,71.37,80,93,2.62,RU,2020-08-23 23:39:00,overcast clouds
40,Jamestown,42.1,-79.24,79.0,69,1,4.7,US,2020-08-23 23:34:09,clear sky
41,Bowmore,34.94,-79.3,80.6,83,1,6.93,US,2020-08-23 23:39:01,clear sky
42,Tura,25.52,90.22,73.72,97,19,3.98,IN,2020-08-23 23:38:02,few clouds
43,Severodvinsk,64.56,39.83,60.8,93,90,6.71,RU,2020-08-23 23:39:01,overcast clouds
44,East London,-33.02,27.91,59.45,76,20,7.54,ZA,2020-08-23 23:39:02,few clouds
45,Dikson,73.51,80.55,45.19,83,0,10.49,RU,2020-08-23 23:34:12,clear sky
46,Pondicherry,11.93,79.83,80.89,83,92,8.79,IN,2020-08-23 23:37:02,light rain
47,Saint-Philippe,-21.36,55.77,68.0,68,36,5.82,RE,2020-08-23 23:34:11,scattered clouds
48,Taraz,42.9,71.37,69.8,32,62,4.47,KZ,2020-08-23 23:38:31,broken clouds
49,Aswan,24.09,32.91,83.77,26,0,5.28,EG,2020-08-23 23:39:03,clear sky
50,San Andres,12.58,-81.7,86.0,74,40,5.82,CO,2020-08-23 23:39:04,scattered clouds
51,Katobu,-4.94,122.53,79.7,67,26,7.25,ID,2020-08-23 23:38:03,scattered clouds
52,Naze,28.37,129.48,87.8,79,75,20.8,JP,2020-08-23 23:38:00,broken clouds
53,Cidreira,-30.18,-50.21,60.87,83,0,17.47,BR,2020-08-23 23:34:39,clear sky
54,Lagoa,39.05,-27.98,72.99,90,0,14.34,PT,2020-08-23 23:39:04,clear sky
55,Semirom,31.42,51.57,48.06,55,0,2.3,IR,2020-08-23 23:39:04,clear sky
56,Isangel,-19.55,169.27,80.6,94,75,4.81,VU,2020-08-23 23:34:43,broken clouds
57,Thompson,55.74,-97.86,55.4,93,90,3.36,CA,2020-08-23 23:37:54,mist
58,Takoradi,4.88,-1.76,74.32,87,18,8.01,GH,2020-08-23 23:39:05,few clouds
59,The Valley,18.22,-63.06,84.2,79,75,11.41,AI,2020-08-23 23:35:02,broken clouds
60,Ta Khmau,11.48,104.95,80.6,83,20,1.12,KH,2020-08-23 23:39:06,few clouds
61,Nikolskoye,59.7,30.79,62.01,87,20,4.47,RU,2020-08-23 23:34:11,few clouds
62,Kununurra,-15.77,128.73,73.4,21,0,10.65,AU,2020-08-23 23:34:38,clear sky
